"restaurant_name","restaurant_url","restaurant_user_name","restaurant_user_comments"
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","Bob G.","I came in today to troubleshoot a phone and computer. By the time I was done, I was starving! I hadn't been to this location since our kids were teenagers and I didn't realize that they started serving lunch about a year ago. After I was finished with my work I sat in the bar and looked over their lunch menu. I really had a hard time trying to decide but it came down to the lasagna or the meatball sandwich. The bartender told me the lasagna was her favorite of the two so I went with it. It was much better than I expected and was comparable to my homemade lasagna. Even though the lunch portions are ""lunch"" size it was almost more than I could eat. I was glad I didn't go with a salad or garlic bread because I would have definitely over indulged. The only let down was I was so hungry that I forget to take a picture to post here. If you're in their neighborhood stop in for lunch.
I can't say much about their family style dinners since it's been so long. It was always a fun atmosphere with a small group and a great place to feed teenagers. It sounds like that part hadn't changed."
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","Brandon V.","Buca di Beppo might be the most flamboyantly fun restaurant in Seattle!
Went there for my birthday recently and had an absolutely fabulous time. The food was delicious but you have to know what to order. The meatballs, meatballs, meatballs galore! Do yourself a favor and order the Brussels sprouts, garlic cheese bread and a pizza too! Also don't forget a few 22oz beers ;)
The servers are friendly, the atmosphere is ridiculous and festive and the laughter fills the dining room and goes through the roof. The place is clean and well maintained, decorations everywhere.
Highly recommended :)"
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","Alice X.","This place is OK, just OK for me because I'm not a die hard fan of pasta. It's perfect for a large group of hungry people. Portions are huge! You'll have food for days!
The decor of the restaurant is basically your classic Italian restaurant.
The place is also kids friendly. Kids get crayons to draw.
The servers are also really nice and efficient."
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","Yuchen Z.","Oh Bucca....how I love thy for your large portions and delicious pastas.
Atmosphere: very old school traditional/stereotypical Italian restaurant with the red & white table cloths and Christmas decor all around. Large pasta sauces every where and pictures of people that have eaten there on the walls.
Food:
Huge portions - they only feed 3 (small) or 5 (large) and there's still plenty for leftovers. I come here with my partner and we get the small, and between the two of us, we can get in a total of 6 meals (so once sit down and 2 times eating the leftovers). But that applied mainly to their Sunday Family Dinners which I think is the best deal. You get garlic bread, salad, sausage, meatballs, and a giant bowl of ziti. We've come here many times for this special and it feeds up halfway through the week. Highly recommend!
+ We've come here for their other pastas as well and I have not been disappointed with their flavors. If you come here just for the pastas, I'd recommend coming with a group because if you order just one dish, there's a lack of variety. That's why some people complain about the prices. It really should be family style.
Overall, I highly recommend Bucca for their Sunday Family Dinners and Half Off Meatball Mondays. Otherwise, if you come here with a large group, it's good to order just a few dishes to share to offset the prices."
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","Rebecca F.","First time back in 7 years!
Nice waiter, mediocre large portions of food, and found a hard piece of plastic in a dinner roll. Might be another 7 years until we return."
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","Alexis M.","The portions are huge. They feed way more than the suggested serving on the menu. The food is pretty average tho, but their caesar salad is amazing. Also don't come here if you are vegan, all of their pasta includes eggs."
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","Marlowe C.","Enjoyed the hospitality, the supremo pizza was delicious parking across the street. Cozy and comfortable seating looking forward to coming back."
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","A H.","I ordered food for my staff of 4 people. This location is 0.6 miles away, which is an 11 minute walk. It took the delivery driver 85 minutes to arrive at our location. The food is cold and soggy. No apology or reimbursement was given. We will never patronize from this establishment again."
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","Nichole B.","Very good italian food! Huge portions and great service. I recommend the baked ziti, chicken carbonara and the chopped antipasto salad."
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","Tony J.","Family style Italian restaurant on Westlake Ave in SLU. Went there for lunch with a party of a dozen people on a weekday, and we were one of the first parties to arrive. Mid-size interior with interesting decor. Services was pretty good.
Their menu has individual-portion options, but they also have a lot family-style options that's meant to serve a couple of people. We ended up ordering two salads, three pastas, and two tiramisu cakes for dessert. The salad, pasta and garlic bread servings were huge. We probably finished less than half of the food. I like the garlic bread and the tiramasu. The pasta and the salads were alright. Lots of quantity, but average quality. Two of the pastas looked and tasted kind of the same even though one was supposed to be spicy. Overall, a decent option to feed Italian food to large parties."
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","Christy K.","I was a fan of buca but you need to control your delivery drivers. Please hire safe drivers that won't curse and scream out of their cars while making illegal turns in a buca vehicle. It was absolutely insane.
This is regarding an incident around noon on 5/30/19.
I was in a right turn lane on Howell and Boren turning, when the buca car pulled up next to me (from behind) in the middle no turn lane. Oncoming traffic made it impossible to make the turn for a bit, but seems like she got impatient.
She pulled up and started screaming obscenities, pulled up in the middle of the intersection, illegally blocking, then made an illegal turn while continuing to screech at me.
So angry Seattle driving, just in a buca car and on meth.
Not a great look.
Please sit down and have a conversation with your staff about driving like normal people.
I road rage too--everyone does from time to time. But your drivers endangered people around them, and that driver at noon today should not be driving for you, let alone on the road to begin with.
In terms of food, I did like the pasta month a couple months back. The pappardele was great. But it's not worth supporting a business that endangers peoples lives."
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","Mike L.","Very italian decor, nice staff. Portion is huge, for family-style sharing. Parking is a bit difficult, need to go around to find it. And it doesn't help that there is lots of traffic during rush hours.
The food selection is good, salmon is good. If your birthday is nearby, then you get one big scoop of ice cream for free!"
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","Cristina G.","This restaurant was critically understaffed and the excuse ""that they were transitioning (that day), from an old district manager to a new one, wasn't a good enough excuse for wasting an hour waiting for bad food.
I can't believe how much money they spent on the remodel, expansion and dealing with the increased rents in the area, given their horrible food and understaffing. While I am sympathetic with how hard it is to hire staff in downtown Seattle, this restaurant as it is now, is killing their brand equity and goodwill."
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","Obsa A.","The worst customer service walked in there at 5:05 got my food at 6 o'clock Kept axing the server how long is the food going to take and she kept saying I don't know I don't cook the food she wouldn't even give me an estimate so after an hour looks like a manager brought our food and I ask him does it usually take one hour to serve food he goes no this tickets only been up for 25 minutes so now he is saying I'm making it so I asked him to bring the ticket and he told me thats not happening again I'll never go back there The worst experience I have ever had never again"
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","Igor I.","I've made an online order to this restaurant in Seattle using their own website. My food was never delivered and my credit card was charged. I've already call them 3 times, being personally in the place claiming my refund and I just hear ""we cannot do refunds locally, must be done by corporate"". And guess what, corporate never called me, I never got my refund. Run from this place, they take your money but don't deliver you food. Just ridiculous!
Update due to comment from Bucca di Beppo Customer Service:
Bucca di Beppo Customer Service, please don't lie in Yelp saying that you are concerned. I've already send a message using your website, already called Seattle restaurant manager 3 times, already gone personally in the restaurant once. And I just don't get my refund. Really, you guys have my contact, as I said I've already contacted you many times."
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","Brad J.","This is a chain restaurant, very low quality food at an exorbitant price. It's not fun. It is cheap and sad, like going to a matinee in the mall. The food really sucks . Did I mention it is sad. It's just corporate garbage food. Just go to Olive Garden and save yourself some money. There is no charm or character to this soulless establishment, it makes me want to start planning my funeral."
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","Miguel C.","Food of course was delicious, waitress wasn't in the pleasant of moods , everything else virtually *****"
"Buca di Beppo Italian Restaurant","https://www.yelp.com/adredir?ad_business_id=8fUje2Qjf55GamblvsKG8A&campaign_id=Y-_0e-w7IQyh3uhQVQ8vtQ&click_origin=search_results&placement=above_search&redirect_url=https%3A%2F%2Fwww.yelp.com%2Fbiz%2Fbuca-di-beppo-italian-restaurant-seattle-3&request_id=442093585d1c1c05&signature=531c660d3d5935265969133e9c1f48098e193c8ff4bd1884a3753b24609ddb60&slot=0","Lee C.","Brought the wife here opening time on a Monday. No reservation required. We always get the usual. Caprese Salad, Eggplant Parm, and Chicken Parm. The food was excellent as usual. This location recently moved. Much bigger space with views of the lake and city. The only thing missing is the Chefs table which the fire department declared illegal which is a shame. I've always wanted to sit there but oh well. I think the prices may have increased as well. If you want to have a great time, good food and atmosphere, I highly recommend. However....I had to make it a 4 star due to the price. Will definitely come again next time we are in the city."
